8 2
1 1 wall
2 1 wall
3 1 wall
4 1 wall
5 1 wall
6 1 wall
7 1 wall
8 1 wall
9 1 wall
1 2 switch
2 2 none
3 2 none
4 2 none
5 2 none
6 2 none
7 2 none
8 2 none
9 2 wall
1 3 wall
2 3 wall
3 3 wall
4 3 sight
5 3 sight
6 3 guard
7 3 wall
8 3 wall
9 3 wall
1 4 wall
2 4 guard
3 4 wall
4 4 sight
5 4 sight
6 4 sight
7 4 sight
8 4 none
9 4 wall
1 5 door
2 5 sight
3 5 wall
4 5 sight
5 5 sight
6 5 sight
7 5 sight
8 5 guard
9 5 wall
1 6 wall
2 6 sight
3 6 wall
4 6 guard
5 6 sight
6 6 sight
7 6 sight
8 6 none
9 6 wall
1 7 wall
2 7 sight
3 7 wall
4 7 wall
5 7 wall
6 7 wall
7 7 wall
8 7 none
9 7 wall
1 8 wall
2 8 sight
3 8 none
4 8 none
5 8 none
6 8 none
7 8 none
8 8 none
9 8 wall
1 9 wall
2 9 wall
3 9 wall
4 9 wall
5 9 wall
6 9 wall
7 9 wall
8 9 wall
9 9 wall
